url,texte,auteur,date,likes,video_url,video_titre,chaine,word_count
https://www.youtube.com/watch?v=zA3etFUNYLA#comment_@SenseiPanda,"Valérie, vous les avez déjà effectués vos 15 ans fermes. C'était une prison psychologique et physique abominable. Même si nous comprenons à travers votre témoignage votre point de vue, sachez que vous avez largement effectuée votre peine. Vous êtes libre, et j’espère que vous pourrez vous détacher de cette culpabilité qui vous ronge.",,2023-09-22,3550,https://www.youtube.com/watch?v=zA3etFUNYLA,Elle tue son mari violent et proxénète : la terrible histoire de Valérie Bacot,YouTube — Tibo InShape,53
https://www.youtube.com/watch?v=zA3etFUNYLA#comment_@TiboInShape,"Valérie nous raconte l'enfer qu'elle a vécu pendant des années et ce depuis son plus jeune âge... Merci à elle pour sa confiance. 
Comme toujours, je compte sur vous pour votre bienveillance dans les commentaires. 
Vous pouvez retrouver toute son histoire dans son livre, ici  : https://www.fr.fnac.ch/a14620504/Valerie-Bacot-Tout-le-monde-savait",,2023-09-22,2949,https://www.youtube.com/watch?v=zA3etFUNYLA,Elle tue son mari violent et proxénète : la terrible histoire de Valérie Bacot,YouTube — Tibo InShape,47
https://www.youtube.com/watch?v=zA3etFUNYLA#comment_@laloutreeee9938,"WoW… j’ai étudié l’an dernier cette affaire pendant mes études de droit… je me souviens pendant le cours je me sentais si mal, même le professeur avait la voix qui tremblait. Si tu vois ce message Valérie, tu as l’avis de 500 futurs magistrats dans ma phrase : tu as bien fait, c’était un malade mental et tu t’es protégée toi et tes enfants. N’aies jamais honte d’avoir fait ce que tu as fait. T’as un courage monstrueux, beaucoup de gens ne l’aurait pas eux. Tu mérites toi et tes enfants la paix ma belle ❤️ je ne sais malheureusement pas dessiner, mais j’espère que tu pourras remplacer ce tatouage immonde en belle chose 🫶🏼 plein de paix et de bonheur à toi",,2023-09-22,2459,https://www.youtube.com/watch?v=zA3etFUNYLA,Elle tue son mari violent et proxénète : la terrible histoire de Valérie Bacot,YouTube — Tibo InShape,123
https://www.youtube.com/watch?v=l4EYSK6xKZc#comment_@camb3122,"Ce système est horrible. C’est de la légitime défense, elle a été violee, forcée à travailler sexuellement, abusée physiquement comme psychologiquement, ce serait une honte qu’elle soit emprisonnée !!!",,2021-02-14,1250,https://www.youtube.com/watch?v=l4EYSK6xKZc,L&#39;AFFAIRE VALÉRIE BACOT : UN MEURTRE À LA CLAYETTE,YouTube — Victoria Charlton,29
https://www.youtube.com/watch?v=zA3etFUNYLA#comment_@evymary3466,"Je viens de écrire un mail il y a quelques années. J’avais déjà contacté Valerie par Facebook mais je crois qu’ils avaient jamais vu le message et j’avais proposé mon aide gratuitement pour recouvrir son tatouage. Du coup je me suis permise de renvoyer un mail. J’espère sincèrement qu’elle aura de l’aide qu’elle puisse passer aussi à autre chose. Ça fait longtemps que je suis son histoire et à chaque fois que je l’écoute j’ai mon cœur toujours retourner, c’est vraiment une femme très forte.❤",,2023-09-23,1170,https://www.youtube.com/watch?v=zA3etFUNYLA,Elle tue son mari violent et proxénète : la terrible histoire de Valérie Bacot,YouTube — Tibo InShape,85
https://www.youtube.com/watch?v=zA3etFUNYLA#comment_@lauba5720,"Je trouve que tu as toujours une approche bienveillante et pleine d'amour pour les gens que tu interviews. Valérie a un langage corporel très parlant : recroquevillée comme un animal apeuré, elle se tient loin de toi dans une posture qui fait penser a la fuite. Comme si elle était prête à partir en courant. 
Elle me touche beaucoup. Je lui souhaite la paix et la sérénité, et un jour, je l'espère pour elle, le bonheur.",,2023-09-27,1017,https://www.youtube.com/watch?v=zA3etFUNYLA,Elle tue son mari violent et proxénète : la terrible histoire de Valérie Bacot,YouTube — Tibo InShape,76
https://www.youtube.com/watch?v=l4EYSK6xKZc#comment_@mildredvadernikov8727,Si elle va en prison c'est encore une perte pour les victimes d'agressions sexuelles et de violence conjugale. Cette femme à  besoin d'un support psychologique pas d'aller en prison.🤦‍♀️,,2021-02-14,580,https://www.youtube.com/watch?v=l4EYSK6xKZc,L&#39;AFFAIRE VALÉRIE BACOT : UN MEURTRE À LA CLAYETTE,YouTube — Victoria Charlton,29
https://www.youtube.com/watch?v=zA3etFUNYLA#comment_@MoiCMax,"Chère Valérie,

Je tiens à t'exprimer mon profond soutien dans cette période difficile de ta vie. Personne ne devrait jamais subir la violence conjugale et l'exploitation que tu as endurées. Il est compréhensible que tu aies agi dans un moment de désespoir pour protéger ta propre vie.

Nul ne peut vraiment comprendre la douleur que tu as ressentie et les choix difficiles que tu as dû faire. J'espère que tu trouveras du réconfort dans le soutien de ceux qui te comprennent et qui sont prêts à t'entourer de compassion. Que la justice fasse son travail de manière équitable et que tu puisses, à l'avenir, trouver la paix et la guérison.

Sache que tu n'es pas seule dans cette épreuve, et de nombreuses personnes se tiennent à tes côtés pour te soutenir dans cette période difficile.

Avec toute ma sympathie,",,2023-09-22,414,https://www.youtube.com/watch?v=zA3etFUNYLA,Elle tue son mari violent et proxénète : la terrible histoire de Valérie Bacot,YouTube — Tibo InShape,139
https://www.youtube.com/watch?v=l4EYSK6xKZc#comment_@VictoriaCharlton,"Allo tout le monde! C’est étrange, la moitié des gens me disent que le lien de la pétition ne fonctionne pas, tandis que d’autres me disent qu’ils ont réussi à signer sans problème ! 😐 de mon côté il fonctionne aussi!
https://www.change.org/p/pas-de-prison-pour-val%C3%A9rie-bacot-viol%C3%A9e-violent%C3%A9e-prostitu%C3%A9e-libertepourvalerie

Sinon, en googlant : « Pétition Valerie Bacot » il sera très facile à trouver! ❤️

Merci beaucoup pour votre aide!",,2021-02-14,398,https://www.youtube.com/watch?v=l4EYSK6xKZc,L&#39;AFFAIRE VALÉRIE BACOT : UN MEURTRE À LA CLAYETTE,YouTube — Victoria Charlton,63
https://www.youtube.com/watch?v=6Uz0O5OX63o#comment_@gem3716,"Bon débarras! Le système ne l'a pas protégé à 13 ans donc elle ne doit rien à la société.
Elle a protégé sa fille avant tout, ses autres enfants et quant à sa propre personne j'en suis même pas sûre. Elle a dû se dire quelque chose comme ""fais ce que tu veux de moi mais elle tu ne la touchera jamais!"". Bravo Valérie! Je vous souhaite tout le bonheur du monde ❤",,2025-12-03,394,https://www.youtube.com/watch?v=6Uz0O5OX63o,"Faites entrer l&#39;accusé - Valérie Bacot, la mort pour délivrance",YouTube — Faites entrer l’accusé - Officielle,73
